
Using cuda device


Initial
----------
VAL 1/13 | Loss: 3.5939 | Batch Time: 1.352 Seconds | Accuracy: 0.6250
VAL 2/13 | Loss: 3.7657 | Batch Time: 0.094 Seconds | Accuracy: 0.5625
VAL 3/13 | Loss: 3.0102 | Batch Time: 0.097 Seconds | Accuracy: 0.7500
VAL 4/13 | Loss: 2.7526 | Batch Time: 0.069 Seconds | Accuracy: 0.6875
VAL 5/13 | Loss: 2.6093 | Batch Time: 0.064 Seconds | Accuracy: 0.7500
VAL 6/13 | Loss: 3.1932 | Batch Time: 0.067 Seconds | Accuracy: 0.8125
VAL 7/13 | Loss: 3.0630 | Batch Time: 0.083 Seconds | Accuracy: 0.5000
VAL 8/13 | Loss: 2.8433 | Batch Time: 0.066 Seconds | Accuracy: 0.7500
VAL 9/13 | Loss: 3.2742 | Batch Time: 0.075 Seconds | Accuracy: 0.6875
VAL 10/13 | Loss: 4.0526 | Batch Time: 0.077 Seconds | Accuracy: 0.5625
VAL 11/13 | Loss: 3.9467 | Batch Time: 0.079 Seconds | Accuracy: 0.5000
VAL 12/13 | Loss: 3.0741 | Batch Time: 0.082 Seconds | Accuracy: 0.5625
VAL 13/13 | Loss: 3.8351 | Batch Time: 0.085 Seconds | Accuracy: 0.6250

Average | Loss: 3.3088 | Time: 2.291 | Accuracy: 0.6442


Epoch 1/8
*****
TRAIN 1/125 | Loss: 2.2140 | Batch Time: 0.976 Seconds | Accuracy: 1.0000
TRAIN 2/125 | Loss: 2.7054 | Batch Time: 0.753 Seconds | Accuracy: 0.9375
TRAIN 3/125 | Loss: 2.6786 | Batch Time: 0.894 Seconds | Accuracy: 0.8750
TRAIN 4/125 | Loss: 2.5914 | Batch Time: 0.639 Seconds | Accuracy: 0.8750
TRAIN 5/125 | Loss: 3.4098 | Batch Time: 0.576 Seconds | Accuracy: 0.7500
TRAIN 6/125 | Loss: 3.1257 | Batch Time: 0.604 Seconds | Accuracy: 0.8125
TRAIN 7/125 | Loss: 2.8610 | Batch Time: 0.587 Seconds | Accuracy: 0.6875
TRAIN 8/125 | Loss: 3.5495 | Batch Time: 0.590 Seconds | Accuracy: 0.6875
TRAIN 9/125 | Loss: 3.2452 | Batch Time: 0.755 Seconds | Accuracy: 0.8750
TRAIN 10/125 | Loss: 2.7003 | Batch Time: 0.557 Seconds | Accuracy: 0.7500
TRAIN 11/125 | Loss: 3.0072 | Batch Time: 0.615 Seconds | Accuracy: 0.7500
TRAIN 12/125 | Loss: 3.1154 | Batch Time: 0.583 Seconds | Accuracy: 0.6250
TRAIN 13/125 | Loss: 1.6115 | Batch Time: 0.701 Seconds | Accuracy: 1.0000
TRAIN 14/125 | Loss: 3.3805 | Batch Time: 0.617 Seconds | Accuracy: 0.7500
TRAIN 15/125 | Loss: 3.0529 | Batch Time: 0.610 Seconds | Accuracy: 0.7500
TRAIN 16/125 | Loss: 3.4050 | Batch Time: 0.616 Seconds | Accuracy: 0.6875
