
Using cuda device


Initial
----------
VAL 1/13 | Loss: 1.8588 | Batch Time: 2.004 Seconds | Accuracy: 0.8750
VAL 2/13 | Loss: 1.7789 | Batch Time: 0.064 Seconds | Accuracy: 0.8750
VAL 3/13 | Loss: 2.3018 | Batch Time: 0.055 Seconds | Accuracy: 0.8125
VAL 4/13 | Loss: 2.0082 | Batch Time: 0.049 Seconds | Accuracy: 0.8125
VAL 5/13 | Loss: 2.3943 | Batch Time: 0.046 Seconds | Accuracy: 0.8125
VAL 6/13 | Loss: 2.7332 | Batch Time: 0.050 Seconds | Accuracy: 0.8750
VAL 7/13 | Loss: 2.0471 | Batch Time: 0.041 Seconds | Accuracy: 0.8125
VAL 8/13 | Loss: 1.8906 | Batch Time: 0.041 Seconds | Accuracy: 0.8750
VAL 9/13 | Loss: 2.1497 | Batch Time: 0.050 Seconds | Accuracy: 0.7500
VAL 10/13 | Loss: 2.2868 | Batch Time: 0.048 Seconds | Accuracy: 0.6875
VAL 11/13 | Loss: 2.2322 | Batch Time: 0.047 Seconds | Accuracy: 0.7500
VAL 12/13 | Loss: 2.6159 | Batch Time: 0.049 Seconds | Accuracy: 0.8125
VAL 13/13 | Loss: 4.6519 | Batch Time: 0.053 Seconds | Accuracy: 0.5000

Average | Loss: 2.3807 | Time: 2.598 | Accuracy: 0.7885


Epoch 1/8
*****
TRAIN 1/136 | Loss: 2.7992 | Batch Time: 1.487 Seconds | Accuracy: 1.0000
TRAIN 2/136 | Loss: 3.3576 | Batch Time: 0.571 Seconds | Accuracy: 0.9375
TRAIN 3/136 | Loss: 2.0806 | Batch Time: 0.559 Seconds | Accuracy: 1.0000
TRAIN 4/136 | Loss: 3.6822 | Batch Time: 0.559 Seconds | Accuracy: 0.6875
TRAIN 5/136 | Loss: 2.7090 | Batch Time: 0.535 Seconds | Accuracy: 1.0000
TRAIN 6/136 | Loss: 3.3049 | Batch Time: 0.591 Seconds | Accuracy: 0.6875
TRAIN 7/136 | Loss: 2.0413 | Batch Time: 0.545 Seconds | Accuracy: 1.0000
TRAIN 8/136 | Loss: 2.8139 | Batch Time: 0.709 Seconds | Accuracy: 0.8750
TRAIN 9/136 | Loss: 2.7048 | Batch Time: 0.603 Seconds | Accuracy: 0.9375
TRAIN 10/136 | Loss: 2.7734 | Batch Time: 0.539 Seconds | Accuracy: 0.6875
TRAIN 11/136 | Loss: 2.6089 | Batch Time: 0.590 Seconds | Accuracy: 1.0000
TRAIN 12/136 | Loss: 2.1779 | Batch Time: 0.566 Seconds | Accuracy: 0.9375
TRAIN 13/136 | Loss: 2.9870 | Batch Time: 0.609 Seconds | Accuracy: 0.8125
TRAIN 14/136 | Loss: 0.9375 | Batch Time: 0.587 Seconds | Accuracy: 1.0000
TRAIN 15/136 | Loss: 2.4794 | Batch Time: 0.567 Seconds | Accuracy: 0.9375
TRAIN 16/136 | Loss: 2.2037 | Batch Time: 0.582 Seconds | Accuracy: 0.9375
TRAIN 17/136 | Loss: 2.8092 | Batch Time: 0.633 Seconds | Accuracy: 1.0000
TRAIN 18/136 | Loss: 2.3402 | Batch Time: 0.604 Seconds | Accuracy: 0.8750
TRAIN 19/136 | Loss: 3.3760 | Batch Time: 0.595 Seconds | Accuracy: 0.8125
TRAIN 20/136 | Loss: 4.0914 | Batch Time: 0.610 Seconds | Accuracy: 0.6875
TRAIN 21/136 | Loss: 2.5603 | Batch Time: 0.572 Seconds | Accuracy: 0.8750
TRAIN 22/136 | Loss: 1.9753 | Batch Time: 0.742 Seconds | Accuracy: 0.9375
TRAIN 23/136 | Loss: 2.3683 | Batch Time: 0.674 Seconds | Accuracy: 1.0000
TRAIN 24/136 | Loss: 2.1164 | Batch Time: 0.652 Seconds | Accuracy: 1.0000
TRAIN 25/136 | Loss: 2.4119 | Batch Time: 0.647 Seconds | Accuracy: 0.9375
TRAIN 26/136 | Loss: 3.1138 | Batch Time: 0.619 Seconds | Accuracy: 0.8750
TRAIN 27/136 | Loss: 3.4937 | Batch Time: 0.862 Seconds | Accuracy: 0.7500
TRAIN 28/136 | Loss: 2.9464 | Batch Time: 0.592 Seconds | Accuracy: 0.6875
TRAIN 29/136 | Loss: 2.8263 | Batch Time: 0.647 Seconds | Accuracy: 0.9375
TRAIN 30/136 | Loss: 2.5866 | Batch Time: 0.651 Seconds | Accuracy: 0.8125
TRAIN 31/136 | Loss: 3.7339 | Batch Time: 0.592 Seconds | Accuracy: 0.6250
TRAIN 32/136 | Loss: 4.2792 | Batch Time: 0.670 Seconds | Accuracy: 0.5625
TRAIN 33/136 | Loss: 2.6122 | Batch Time: 0.624 Seconds | Accuracy: 0.8750
TRAIN 34/136 | Loss: 2.9123 | Batch Time: 0.658 Seconds | Accuracy: 0.8125
TRAIN 35/136 | Loss: 1.7783 | Batch Time: 0.623 Seconds | Accuracy: 0.9375
TRAIN 36/136 | Loss: 2.7677 | Batch Time: 0.613 Seconds | Accuracy: 1.0000
TRAIN 37/136 | Loss: 1.9535 | Batch Time: 0.632 Seconds | Accuracy: 0.9375
TRAIN 38/136 | Loss: 2.3366 | Batch Time: 0.628 Seconds | Accuracy: 0.9375
TRAIN 39/136 | Loss: 2.7235 | Batch Time: 0.672 Seconds | Accuracy: 0.8125
TRAIN 40/136 | Loss: 2.8890 | Batch Time: 0.639 Seconds | Accuracy: 0.8750
TRAIN 41/136 | Loss: 2.8691 | Batch Time: 0.666 Seconds | Accuracy: 0.8125
TRAIN 42/136 | Loss: 3.1313 | Batch Time: 0.661 Seconds | Accuracy: 0.8750
TRAIN 43/136 | Loss: 3.9385 | Batch Time: 0.629 Seconds | Accuracy: 0.5625
TRAIN 44/136 | Loss: 3.5304 | Batch Time: 0.692 Seconds | Accuracy: 0.7500
TRAIN 45/136 | Loss: 3.0260 | Batch Time: 0.759 Seconds | Accuracy: 0.6875
TRAIN 46/136 | Loss: 3.0463 | Batch Time: 0.607 Seconds | Accuracy: 0.8125
TRAIN 47/136 | Loss: 3.6265 | Batch Time: 0.655 Seconds | Accuracy: 0.6250
TRAIN 48/136 | Loss: 2.6545 | Batch Time: 0.667 Seconds | Accuracy: 0.6875
TRAIN 49/136 | Loss: 3.3829 | Batch Time: 0.657 Seconds | Accuracy: 0.7500
TRAIN 50/136 | Loss: 2.5645 | Batch Time: 0.649 Seconds | Accuracy: 0.8750
TRAIN 51/136 | Loss: 3.5858 | Batch Time: 0.699 Seconds | Accuracy: 0.7500
TRAIN 52/136 | Loss: 2.2326 | Batch Time: 0.693 Seconds | Accuracy: 0.8750
TRAIN 53/136 | Loss: 2.9119 | Batch Time: 0.623 Seconds | Accuracy: 0.9375
TRAIN 54/136 | Loss: 1.8331 | Batch Time: 0.846 Seconds | Accuracy: 0.9375
TRAIN 55/136 | Loss: 2.8690 | Batch Time: 0.686 Seconds | Accuracy: 0.8750
TRAIN 56/136 | Loss: 3.0917 | Batch Time: 0.738 Seconds | Accuracy: 0.6875
TRAIN 57/136 | Loss: 3.4729 | Batch Time: 0.703 Seconds | Accuracy: 0.8125
TRAIN 58/136 | Loss: 3.9299 | Batch Time: 0.663 Seconds | Accuracy: 0.6250
TRAIN 59/136 | Loss: 3.7903 | Batch Time: 0.677 Seconds | Accuracy: 0.5625
TRAIN 60/136 | Loss: 2.9511 | Batch Time: 0.699 Seconds | Accuracy: 0.9375
TRAIN 61/136 | Loss: 2.7969 | Batch Time: 0.669 Seconds | Accuracy: 0.8125
TRAIN 62/136 | Loss: 3.1823 | Batch Time: 0.669 Seconds | Accuracy: 0.8125
TRAIN 63/136 | Loss: 3.1700 | Batch Time: 0.732 Seconds | Accuracy: 0.8125
TRAIN 64/136 | Loss: 3.3520 | Batch Time: 0.666 Seconds | Accuracy: 0.9375
TRAIN 65/136 | Loss: 3.4868 | Batch Time: 0.672 Seconds | Accuracy: 0.6250
TRAIN 66/136 | Loss: 3.4823 | Batch Time: 0.658 Seconds | Accuracy: 0.5625
TRAIN 67/136 | Loss: 2.2846 | Batch Time: 0.672 Seconds | Accuracy: 0.8750
TRAIN 68/136 | Loss: 2.8602 | Batch Time: 0.676 Seconds | Accuracy: 0.9375
TRAIN 69/136 | Loss: 2.9105 | Batch Time: 0.681 Seconds | Accuracy: 0.8750
TRAIN 70/136 | Loss: 3.1320 | Batch Time: 0.665 Seconds | Accuracy: 0.7500
TRAIN 71/136 | Loss: 2.1914 | Batch Time: 0.709 Seconds | Accuracy: 0.9375
TRAIN 72/136 | Loss: 3.4311 | Batch Time: 0.695 Seconds | Accuracy: 0.7500
TRAIN 73/136 | Loss: 3.6116 | Batch Time: 0.797 Seconds | Accuracy: 0.6875
TRAIN 74/136 | Loss: 4.8911 | Batch Time: 0.731 Seconds | Accuracy: 0.3125
TRAIN 75/136 | Loss: 2.1513 | Batch Time: 0.671 Seconds | Accuracy: 1.0000
