
Using cuda device


Initial
----------
VAL 1/13 | Loss: 2.8110 | Batch Time: 1.535 Seconds | Accuracy: 0.5625
VAL 2/13 | Loss: 2.4511 | Batch Time: 0.084 Seconds | Accuracy: 0.8125
VAL 3/13 | Loss: 2.9553 | Batch Time: 0.062 Seconds | Accuracy: 0.6875
VAL 4/13 | Loss: 1.8198 | Batch Time: 0.047 Seconds | Accuracy: 0.8750
VAL 5/13 | Loss: 2.3043 | Batch Time: 0.050 Seconds | Accuracy: 0.6250
VAL 6/13 | Loss: 2.7037 | Batch Time: 0.054 Seconds | Accuracy: 0.6875
VAL 7/13 | Loss: 2.0493 | Batch Time: 0.054 Seconds | Accuracy: 0.8750
VAL 8/13 | Loss: 1.6937 | Batch Time: 0.053 Seconds | Accuracy: 0.8750
VAL 9/13 | Loss: 1.7119 | Batch Time: 0.059 Seconds | Accuracy: 0.8125
VAL 10/13 | Loss: 1.6580 | Batch Time: 0.057 Seconds | Accuracy: 0.8750
VAL 11/13 | Loss: 1.8086 | Batch Time: 0.048 Seconds | Accuracy: 0.7500
VAL 12/13 | Loss: 1.7225 | Batch Time: 0.046 Seconds | Accuracy: 0.8125
VAL 13/13 | Loss: 3.2991 | Batch Time: 0.052 Seconds | Accuracy: 0.6250

Average | Loss: 2.2299 | Time: 2.201 | Accuracy: 0.7596


Epoch 1/8
*****
TRAIN 1/136 | Loss: 3.3538 | Batch Time: 0.930 Seconds | Accuracy: 0.6250
TRAIN 2/136 | Loss: 4.0926 | Batch Time: 0.524 Seconds | Accuracy: 0.5000
TRAIN 3/136 | Loss: 2.8301 | Batch Time: 0.529 Seconds | Accuracy: 0.7500
TRAIN 4/136 | Loss: 4.1865 | Batch Time: 0.577 Seconds | Accuracy: 0.3750
TRAIN 5/136 | Loss: 3.5198 | Batch Time: 0.548 Seconds | Accuracy: 0.6250
TRAIN 6/136 | Loss: 3.6741 | Batch Time: 0.539 Seconds | Accuracy: 0.5625
TRAIN 7/136 | Loss: 2.6167 | Batch Time: 0.565 Seconds | Accuracy: 0.9375
TRAIN 8/136 | Loss: 3.0266 | Batch Time: 0.551 Seconds | Accuracy: 0.7500
TRAIN 9/136 | Loss: 3.2330 | Batch Time: 0.526 Seconds | Accuracy: 0.9375
TRAIN 10/136 | Loss: 2.7978 | Batch Time: 0.698 Seconds | Accuracy: 0.6250
TRAIN 11/136 | Loss: 2.9187 | Batch Time: 0.547 Seconds | Accuracy: 0.6250
TRAIN 12/136 | Loss: 2.3847 | Batch Time: 0.595 Seconds | Accuracy: 0.8125
TRAIN 13/136 | Loss: 3.6527 | Batch Time: 0.592 Seconds | Accuracy: 0.5625
TRAIN 14/136 | Loss: 1.2167 | Batch Time: 0.602 Seconds | Accuracy: 1.0000
TRAIN 15/136 | Loss: 3.0182 | Batch Time: 0.601 Seconds | Accuracy: 0.7500
TRAIN 16/136 | Loss: 2.2915 | Batch Time: 0.608 Seconds | Accuracy: 0.8750
TRAIN 17/136 | Loss: 3.3986 | Batch Time: 0.591 Seconds | Accuracy: 0.6875
TRAIN 18/136 | Loss: 2.5643 | Batch Time: 0.583 Seconds | Accuracy: 0.8750
TRAIN 19/136 | Loss: 3.6773 | Batch Time: 0.576 Seconds | Accuracy: 0.5625
