
Using cuda device


Initial
----------
VAL 1/13 | Loss: 5.5264 | Batch Time: 0.051 Seconds | Accuracy: 0.2500
VAL 2/13 | Loss: 6.4050 | Batch Time: 0.061 Seconds | Accuracy: 0.0625
VAL 3/13 | Loss: 5.6544 | Batch Time: 0.038 Seconds | Accuracy: 0.3125
VAL 4/13 | Loss: 4.4323 | Batch Time: 0.035 Seconds | Accuracy: 0.3125
VAL 5/13 | Loss: 4.8370 | Batch Time: 0.041 Seconds | Accuracy: 0.3125
VAL 6/13 | Loss: 5.3233 | Batch Time: 0.039 Seconds | Accuracy: 0.1875
VAL 7/13 | Loss: 4.3606 | Batch Time: 0.039 Seconds | Accuracy: 0.3125
VAL 8/13 | Loss: 4.4174 | Batch Time: 0.061 Seconds | Accuracy: 0.3750
VAL 9/13 | Loss: 4.4415 | Batch Time: 0.036 Seconds | Accuracy: 0.3750
VAL 10/13 | Loss: 5.7255 | Batch Time: 0.037 Seconds | Accuracy: 0.2500
VAL 11/13 | Loss: 4.9488 | Batch Time: 0.056 Seconds | Accuracy: 0.2500
VAL 12/13 | Loss: 4.3630 | Batch Time: 0.053 Seconds | Accuracy: 0.3750
VAL 13/13 | Loss: 5.4496 | Batch Time: 0.034 Seconds | Accuracy: 0.3750

Average | Loss: 5.0680 | Time: 0.580 | Accuracy: 0.2885


Epoch 1/8
*****
TRAIN 1/125 | Loss: 5.4403 | Batch Time: 1.117 Seconds | Accuracy: 0.4375
TRAIN 2/125 | Loss: 5.4708 | Batch Time: 1.261 Seconds | Accuracy: 0.2500
TRAIN 3/125 | Loss: 6.0810 | Batch Time: 0.499 Seconds | Accuracy: 0.1875
TRAIN 4/125 | Loss: 5.8553 | Batch Time: 0.501 Seconds | Accuracy: 0.2500
TRAIN 5/125 | Loss: 6.5996 | Batch Time: 0.492 Seconds | Accuracy: 0.1250
TRAIN 6/125 | Loss: 6.4762 | Batch Time: 0.502 Seconds | Accuracy: 0.0625
TRAIN 7/125 | Loss: 5.3196 | Batch Time: 0.489 Seconds | Accuracy: 0.3750
