
Using cuda device


Initial
----------
VAL 1/13 | Loss: 1.8699 | Batch Time: 5.883 Seconds | Accuracy: 0.8750
VAL 2/13 | Loss: 1.7160 | Batch Time: 0.168 Seconds | Accuracy: 0.8750
VAL 3/13 | Loss: 2.6941 | Batch Time: 0.138 Seconds | Accuracy: 0.8125
VAL 4/13 | Loss: 2.2535 | Batch Time: 0.155 Seconds | Accuracy: 0.7500
VAL 5/13 | Loss: 1.5714 | Batch Time: 0.070 Seconds | Accuracy: 0.8750
VAL 6/13 | Loss: 2.4133 | Batch Time: 0.189 Seconds | Accuracy: 0.7500
VAL 7/13 | Loss: 1.3854 | Batch Time: 0.146 Seconds | Accuracy: 0.9375
VAL 8/13 | Loss: 1.3988 | Batch Time: 0.062 Seconds | Accuracy: 1.0000
VAL 9/13 | Loss: 1.8203 | Batch Time: 0.056 Seconds | Accuracy: 0.8750
VAL 10/13 | Loss: 2.4349 | Batch Time: 0.078 Seconds | Accuracy: 0.8125
VAL 11/13 | Loss: 1.7234 | Batch Time: 0.091 Seconds | Accuracy: 0.8750
VAL 12/13 | Loss: 1.9127 | Batch Time: 0.080 Seconds | Accuracy: 0.9375
VAL 13/13 | Loss: 2.0212 | Batch Time: 0.194 Seconds | Accuracy: 0.6250

Average | Loss: 1.9396 | Time: 7.310 | Accuracy: 0.8462 

Epoch 1/8
*****
TRAIN 1/125 | Loss: 3.4325 | Batch Time: 2.400 Seconds | Accuracy: 0.5000
TRAIN 2/125 | Loss: 3.1643 | Batch Time: 0.636 Seconds | Accuracy: 0.8125
TRAIN 3/125 | Loss: 1.7442 | Batch Time: 0.658 Seconds | Accuracy: 0.9375
TRAIN 4/125 | Loss: 2.0806 | Batch Time: 0.571 Seconds | Accuracy: 0.9375
TRAIN 5/125 | Loss: 2.5275 | Batch Time: 0.573 Seconds | Accuracy: 0.8125
TRAIN 6/125 | Loss: 2.1628 | Batch Time: 0.586 Seconds | Accuracy: 0.9375
TRAIN 7/125 | Loss: 2.0340 | Batch Time: 0.702 Seconds | Accuracy: 1.0000
TRAIN 8/125 | Loss: 3.0681 | Batch Time: 0.596 Seconds | Accuracy: 0.8125
TRAIN 9/125 | Loss: 1.9794 | Batch Time: 0.575 Seconds | Accuracy: 0.9375
TRAIN 10/125 | Loss: 2.0758 | Batch Time: 0.632 Seconds | Accuracy: 0.9375
TRAIN 11/125 | Loss: 2.0902 | Batch Time: 0.605 Seconds | Accuracy: 0.9375
TRAIN 12/125 | Loss: 2.6632 | Batch Time: 0.609 Seconds | Accuracy: 1.0000
TRAIN 13/125 | Loss: 0.6008 | Batch Time: 0.701 Seconds | Accuracy: 1.0000
TRAIN 14/125 | Loss: 2.7948 | Batch Time: 0.613 Seconds | Accuracy: 0.8125
TRAIN 15/125 | Loss: 2.6249 | Batch Time: 0.605 Seconds | Accuracy: 0.9375
TRAIN 16/125 | Loss: 2.7492 | Batch Time: 0.645 Seconds | Accuracy: 0.8125
TRAIN 17/125 | Loss: 2.0758 | Batch Time: 0.605 Seconds | Accuracy: 0.9375
TRAIN 18/125 | Loss: 3.6236 | Batch Time: 0.632 Seconds | Accuracy: 0.5000
TRAIN 19/125 | Loss: 2.4843 | Batch Time: 0.616 Seconds | Accuracy: 0.8750
