
Using cuda device


Initial
----------
VAL 1/13 | Loss: 5.5264 | Batch Time: 1.181 Seconds | Accuracy: 0.2500
VAL 2/13 | Loss: 6.4050 | Batch Time: 0.062 Seconds | Accuracy: 0.0625
VAL 3/13 | Loss: 5.6544 | Batch Time: 0.037 Seconds | Accuracy: 0.3125
VAL 4/13 | Loss: 4.4323 | Batch Time: 0.037 Seconds | Accuracy: 0.3125
VAL 5/13 | Loss: 4.8370 | Batch Time: 0.039 Seconds | Accuracy: 0.3125
VAL 6/13 | Loss: 5.3233 | Batch Time: 0.038 Seconds | Accuracy: 0.1875
VAL 7/13 | Loss: 4.3606 | Batch Time: 0.035 Seconds | Accuracy: 0.3125
VAL 8/13 | Loss: 4.4174 | Batch Time: 0.039 Seconds | Accuracy: 0.3750
VAL 9/13 | Loss: 4.4415 | Batch Time: 0.037 Seconds | Accuracy: 0.3750
VAL 10/13 | Loss: 5.7255 | Batch Time: 0.043 Seconds | Accuracy: 0.2500
VAL 11/13 | Loss: 4.9488 | Batch Time: 0.040 Seconds | Accuracy: 0.2500
VAL 12/13 | Loss: 4.3630 | Batch Time: 0.039 Seconds | Accuracy: 0.3750
VAL 13/13 | Loss: 5.4496 | Batch Time: 0.038 Seconds | Accuracy: 0.3750

Average | Loss: 5.0680 | Time: 1.666 | Accuracy: 0.2885


Epoch 1/8
*****
TRAIN 1/125 | Loss: 5.4481 | Batch Time: 0.825 Seconds | Accuracy: 0.3125
TRAIN 2/125 | Loss: 5.4325 | Batch Time: 0.527 Seconds | Accuracy: 0.2500
TRAIN 3/125 | Loss: 6.0226 | Batch Time: 0.518 Seconds | Accuracy: 0.0625
TRAIN 4/125 | Loss: 5.7701 | Batch Time: 0.532 Seconds | Accuracy: 0.3125
TRAIN 5/125 | Loss: 6.5514 | Batch Time: 0.516 Seconds | Accuracy: 0.1875
TRAIN 6/125 | Loss: 6.2458 | Batch Time: 0.529 Seconds | Accuracy: 0.1875
TRAIN 7/125 | Loss: 5.3873 | Batch Time: 0.534 Seconds | Accuracy: 0.3750
TRAIN 8/125 | Loss: 6.0818 | Batch Time: 0.527 Seconds | Accuracy: 0.1875
TRAIN 9/125 | Loss: 6.6138 | Batch Time: 0.522 Seconds | Accuracy: 0.2500
TRAIN 10/125 | Loss: 6.2263 | Batch Time: 0.542 Seconds | Accuracy: 0.1875
TRAIN 11/125 | Loss: 6.7557 | Batch Time: 0.529 Seconds | Accuracy: 0.0000
TRAIN 12/125 | Loss: 7.3155 | Batch Time: 0.536 Seconds | Accuracy: 0.0625
TRAIN 13/125 | Loss: 5.3615 | Batch Time: 0.536 Seconds | Accuracy: 0.3750
TRAIN 14/125 | Loss: 6.4670 | Batch Time: 0.537 Seconds | Accuracy: 0.0625
TRAIN 15/125 | Loss: 6.7783 | Batch Time: 0.605 Seconds | Accuracy: 0.0000
TRAIN 16/125 | Loss: 6.6785 | Batch Time: 0.540 Seconds | Accuracy: 0.1875
TRAIN 17/125 | Loss: 6.1578 | Batch Time: 0.616 Seconds | Accuracy: 0.1250
TRAIN 18/125 | Loss: 7.3841 | Batch Time: 0.526 Seconds | Accuracy: 0.0625
TRAIN 19/125 | Loss: 6.3229 | Batch Time: 0.610 Seconds | Accuracy: 0.1250
TRAIN 20/125 | Loss: 5.6035 | Batch Time: 0.531 Seconds | Accuracy: 0.4375
TRAIN 21/125 | Loss: 6.8936 | Batch Time: 0.625 Seconds | Accuracy: 0.1250
TRAIN 22/125 | Loss: 5.8416 | Batch Time: 0.529 Seconds | Accuracy: 0.1875
TRAIN 23/125 | Loss: 6.8178 | Batch Time: 0.576 Seconds | Accuracy: 0.1250
TRAIN 24/125 | Loss: 6.5230 | Batch Time: 0.536 Seconds | Accuracy: 0.1875
TRAIN 25/125 | Loss: 8.3481 | Batch Time: 0.606 Seconds | Accuracy: 0.0000
TRAIN 26/125 | Loss: 6.3188 | Batch Time: 0.536 Seconds | Accuracy: 0.1875
TRAIN 27/125 | Loss: 6.0744 | Batch Time: 0.720 Seconds | Accuracy: 0.1875
TRAIN 28/125 | Loss: 6.2479 | Batch Time: 0.536 Seconds | Accuracy: 0.2500
TRAIN 29/125 | Loss: 5.3810 | Batch Time: 0.550 Seconds | Accuracy: 0.2500
TRAIN 30/125 | Loss: 6.3757 | Batch Time: 0.543 Seconds | Accuracy: 0.1875
TRAIN 31/125 | Loss: 7.8585 | Batch Time: 0.551 Seconds | Accuracy: 0.0625
TRAIN 32/125 | Loss: 6.2303 | Batch Time: 0.551 Seconds | Accuracy: 0.1875
TRAIN 33/125 | Loss: 5.9358 | Batch Time: 0.562 Seconds | Accuracy: 0.1250
TRAIN 34/125 | Loss: 5.8691 | Batch Time: 0.560 Seconds | Accuracy: 0.1250
TRAIN 35/125 | Loss: 6.8060 | Batch Time: 0.594 Seconds | Accuracy: 0.0000
TRAIN 36/125 | Loss: 6.1582 | Batch Time: 0.665 Seconds | Accuracy: 0.1250
TRAIN 37/125 | Loss: 5.2901 | Batch Time: 0.556 Seconds | Accuracy: 0.3125
TRAIN 38/125 | Loss: 6.2587 | Batch Time: 0.593 Seconds | Accuracy: 0.2500
TRAIN 39/125 | Loss: 6.7297 | Batch Time: 0.531 Seconds | Accuracy: 0.1250
TRAIN 40/125 | Loss: 6.8731 | Batch Time: 0.566 Seconds | Accuracy: 0.0625
TRAIN 41/125 | Loss: 7.3144 | Batch Time: 0.565 Seconds | Accuracy: 0.0625
TRAIN 42/125 | Loss: 5.8750 | Batch Time: 0.613 Seconds | Accuracy: 0.1875
TRAIN 43/125 | Loss: 7.0359 | Batch Time: 0.560 Seconds | Accuracy: 0.0625
TRAIN 44/125 | Loss: 6.6607 | Batch Time: 0.546 Seconds | Accuracy: 0.0625
TRAIN 45/125 | Loss: 5.7951 | Batch Time: 0.579 Seconds | Accuracy: 0.2500
TRAIN 46/125 | Loss: 6.8194 | Batch Time: 0.565 Seconds | Accuracy: 0.1250
TRAIN 47/125 | Loss: 5.8112 | Batch Time: 0.557 Seconds | Accuracy: 0.1875
TRAIN 48/125 | Loss: 6.2602 | Batch Time: 0.587 Seconds | Accuracy: 0.1250
TRAIN 49/125 | Loss: 6.1237 | Batch Time: 0.561 Seconds | Accuracy: 0.1875
TRAIN 50/125 | Loss: 6.8640 | Batch Time: 0.620 Seconds | Accuracy: 0.0000
TRAIN 51/125 | Loss: 5.9363 | Batch Time: 0.543 Seconds | Accuracy: 0.1250
