
Using cuda device


Initial
----------
VAL 1/13 | Loss: 3.5949 | Batch Time: 3.767 Seconds | Accuracy: 0.5625
VAL 2/13 | Loss: 3.9958 | Batch Time: 0.080 Seconds | Accuracy: 0.4375
VAL 3/13 | Loss: 4.8773 | Batch Time: 0.061 Seconds | Accuracy: 0.1875
VAL 4/13 | Loss: 3.7919 | Batch Time: 0.069 Seconds | Accuracy: 0.3750
VAL 5/13 | Loss: 3.7455 | Batch Time: 0.090 Seconds | Accuracy: 0.5000
VAL 6/13 | Loss: 4.2570 | Batch Time: 0.142 Seconds | Accuracy: 0.4375
VAL 7/13 | Loss: 3.5521 | Batch Time: 0.159 Seconds | Accuracy: 0.5000
VAL 8/13 | Loss: 2.8376 | Batch Time: 0.143 Seconds | Accuracy: 0.5625
VAL 9/13 | Loss: 3.3145 | Batch Time: 0.137 Seconds | Accuracy: 0.4375
VAL 10/13 | Loss: 4.3555 | Batch Time: 0.143 Seconds | Accuracy: 0.3750
VAL 11/13 | Loss: 3.6257 | Batch Time: 0.132 Seconds | Accuracy: 0.5000
VAL 12/13 | Loss: 4.3566 | Batch Time: 0.142 Seconds | Accuracy: 0.3125
VAL 13/13 | Loss: 6.4297 | Batch Time: 0.185 Seconds | Accuracy: 0.1250

Average | Loss: 4.0565 | Time: 5.250 | Accuracy: 0.4087


Epoch 1/8
*****
TRAIN 1/136 | Loss: 5.5536 | Batch Time: 1.708 Seconds | Accuracy: 0.3125
TRAIN 2/136 | Loss: 6.1266 | Batch Time: 0.629 Seconds | Accuracy: 0.3750
TRAIN 3/136 | Loss: 4.7385 | Batch Time: 0.564 Seconds | Accuracy: 0.5625
TRAIN 4/136 | Loss: 6.5575 | Batch Time: 0.567 Seconds | Accuracy: 0.0625
TRAIN 5/136 | Loss: 5.4629 | Batch Time: 0.633 Seconds | Accuracy: 0.3125
TRAIN 6/136 | Loss: 6.4365 | Batch Time: 0.595 Seconds | Accuracy: 0.0625
TRAIN 7/136 | Loss: 4.8349 | Batch Time: 0.574 Seconds | Accuracy: 0.4375
TRAIN 8/136 | Loss: 5.5742 | Batch Time: 0.609 Seconds | Accuracy: 0.1875
TRAIN 9/136 | Loss: 4.5374 | Batch Time: 0.593 Seconds | Accuracy: 0.4375
TRAIN 10/136 | Loss: 5.9029 | Batch Time: 0.567 Seconds | Accuracy: 0.3125
TRAIN 11/136 | Loss: 4.5510 | Batch Time: 0.630 Seconds | Accuracy: 0.5625
TRAIN 12/136 | Loss: 4.7325 | Batch Time: 0.598 Seconds | Accuracy: 0.5000
TRAIN 13/136 | Loss: 6.2439 | Batch Time: 0.587 Seconds | Accuracy: 0.3125
TRAIN 14/136 | Loss: 4.1454 | Batch Time: 0.601 Seconds | Accuracy: 0.6875
TRAIN 15/136 | Loss: 5.5515 | Batch Time: 0.586 Seconds | Accuracy: 0.3125
TRAIN 16/136 | Loss: 4.5397 | Batch Time: 0.591 Seconds | Accuracy: 0.5000
TRAIN 17/136 | Loss: 5.8193 | Batch Time: 0.578 Seconds | Accuracy: 0.3750
TRAIN 18/136 | Loss: 5.2413 | Batch Time: 0.609 Seconds | Accuracy: 0.3750
TRAIN 19/136 | Loss: 6.1326 | Batch Time: 0.617 Seconds | Accuracy: 0.3125
TRAIN 20/136 | Loss: 7.1962 | Batch Time: 0.628 Seconds | Accuracy: 0.0625
TRAIN 21/136 | Loss: 4.9406 | Batch Time: 0.768 Seconds | Accuracy: 0.4375
TRAIN 22/136 | Loss: 4.6512 | Batch Time: 0.620 Seconds | Accuracy: 0.4375
TRAIN 23/136 | Loss: 5.2575 | Batch Time: 0.636 Seconds | Accuracy: 0.3125
TRAIN 24/136 | Loss: 5.8284 | Batch Time: 0.608 Seconds | Accuracy: 0.1250
TRAIN 25/136 | Loss: 5.5675 | Batch Time: 0.632 Seconds | Accuracy: 0.2500
TRAIN 26/136 | Loss: 6.8586 | Batch Time: 0.603 Seconds | Accuracy: 0.0000
TRAIN 27/136 | Loss: 8.0922 | Batch Time: 0.763 Seconds | Accuracy: 0.0000
TRAIN 28/136 | Loss: 5.2021 | Batch Time: 0.714 Seconds | Accuracy: 0.3125
TRAIN 29/136 | Loss: 4.9191 | Batch Time: 0.631 Seconds | Accuracy: 0.3125
TRAIN 30/136 | Loss: 6.1898 | Batch Time: 0.853 Seconds | Accuracy: 0.1875
TRAIN 31/136 | Loss: 6.6944 | Batch Time: 0.711 Seconds | Accuracy: 0.0000
TRAIN 32/136 | Loss: 6.5415 | Batch Time: 0.613 Seconds | Accuracy: 0.1875
TRAIN 33/136 | Loss: 5.1005 | Batch Time: 0.626 Seconds | Accuracy: 0.3125
TRAIN 34/136 | Loss: 6.7681 | Batch Time: 0.638 Seconds | Accuracy: 0.1875
TRAIN 35/136 | Loss: 4.1288 | Batch Time: 0.597 Seconds | Accuracy: 0.5000
TRAIN 36/136 | Loss: 5.7017 | Batch Time: 0.594 Seconds | Accuracy: 0.1875
TRAIN 37/136 | Loss: 4.9576 | Batch Time: 0.625 Seconds | Accuracy: 0.3125
TRAIN 38/136 | Loss: 5.6702 | Batch Time: 0.608 Seconds | Accuracy: 0.2500
TRAIN 39/136 | Loss: 5.3187 | Batch Time: 0.655 Seconds | Accuracy: 0.3125
TRAIN 40/136 | Loss: 5.3516 | Batch Time: 0.632 Seconds | Accuracy: 0.3125
TRAIN 41/136 | Loss: 5.8356 | Batch Time: 0.653 Seconds | Accuracy: 0.1250
TRAIN 42/136 | Loss: 5.3698 | Batch Time: 0.675 Seconds | Accuracy: 0.2500
TRAIN 43/136 | Loss: 6.8923 | Batch Time: 0.605 Seconds | Accuracy: 0.0000
TRAIN 44/136 | Loss: 5.6567 | Batch Time: 0.792 Seconds | Accuracy: 0.1875
TRAIN 45/136 | Loss: 5.6491 | Batch Time: 0.624 Seconds | Accuracy: 0.2500
TRAIN 46/136 | Loss: 5.6348 | Batch Time: 0.696 Seconds | Accuracy: 0.2500
TRAIN 47/136 | Loss: 6.4325 | Batch Time: 0.773 Seconds | Accuracy: 0.1875
TRAIN 48/136 | Loss: 5.7100 | Batch Time: 0.654 Seconds | Accuracy: 0.2500
TRAIN 49/136 | Loss: 5.3209 | Batch Time: 0.636 Seconds | Accuracy: 0.3125
TRAIN 50/136 | Loss: 5.1963 | Batch Time: 0.633 Seconds | Accuracy: 0.4375
TRAIN 51/136 | Loss: 6.5638 | Batch Time: 0.659 Seconds | Accuracy: 0.0625
TRAIN 52/136 | Loss: 5.8688 | Batch Time: 0.635 Seconds | Accuracy: 0.1250
TRAIN 53/136 | Loss: 5.3417 | Batch Time: 0.633 Seconds | Accuracy: 0.3125
TRAIN 54/136 | Loss: 4.8100 | Batch Time: 0.624 Seconds | Accuracy: 0.5000
TRAIN 55/136 | Loss: 5.6412 | Batch Time: 0.602 Seconds | Accuracy: 0.2500
TRAIN 56/136 | Loss: 5.8996 | Batch Time: 0.612 Seconds | Accuracy: 0.1250
TRAIN 57/136 | Loss: 6.4481 | Batch Time: 0.615 Seconds | Accuracy: 0.2500
TRAIN 58/136 | Loss: 6.1472 | Batch Time: 0.627 Seconds | Accuracy: 0.1250
TRAIN 59/136 | Loss: 6.0047 | Batch Time: 0.676 Seconds | Accuracy: 0.1250
TRAIN 60/136 | Loss: 5.3452 | Batch Time: 0.608 Seconds | Accuracy: 0.2500
TRAIN 61/136 | Loss: 5.5901 | Batch Time: 0.623 Seconds | Accuracy: 0.1250
TRAIN 62/136 | Loss: 5.8892 | Batch Time: 0.983 Seconds | Accuracy: 0.2500
TRAIN 63/136 | Loss: 6.0243 | Batch Time: 0.953 Seconds | Accuracy: 0.0000
TRAIN 64/136 | Loss: 6.0214 | Batch Time: 0.600 Seconds | Accuracy: 0.2500
TRAIN 65/136 | Loss: 6.0823 | Batch Time: 0.968 Seconds | Accuracy: 0.0000
TRAIN 66/136 | Loss: 5.9375 | Batch Time: 0.736 Seconds | Accuracy: 0.2500
TRAIN 67/136 | Loss: 5.2936 | Batch Time: 0.769 Seconds | Accuracy: 0.0625
TRAIN 68/136 | Loss: 4.6732 | Batch Time: 0.631 Seconds | Accuracy: 0.3750
TRAIN 69/136 | Loss: 5.8239 | Batch Time: 0.737 Seconds | Accuracy: 0.3125
TRAIN 70/136 | Loss: 5.1847 | Batch Time: 0.660 Seconds | Accuracy: 0.3125
TRAIN 71/136 | Loss: 4.4186 | Batch Time: 0.686 Seconds | Accuracy: 0.5625
TRAIN 72/136 | Loss: 5.4494 | Batch Time: 0.751 Seconds | Accuracy: 0.2500
TRAIN 73/136 | Loss: 6.0205 | Batch Time: 0.625 Seconds | Accuracy: 0.1875
TRAIN 74/136 | Loss: 6.9887 | Batch Time: 0.663 Seconds | Accuracy: 0.1250
TRAIN 75/136 | Loss: 4.1534 | Batch Time: 0.669 Seconds | Accuracy: 0.6875
TRAIN 76/136 | Loss: 4.9937 | Batch Time: 0.693 Seconds | Accuracy: 0.5000
TRAIN 77/136 | Loss: 6.4761 | Batch Time: 0.599 Seconds | Accuracy: 0.0625
TRAIN 78/136 | Loss: 7.4224 | Batch Time: 0.677 Seconds | Accuracy: 0.0625
TRAIN 79/136 | Loss: 6.7036 | Batch Time: 0.795 Seconds | Accuracy: 0.1875
TRAIN 80/136 | Loss: 5.4526 | Batch Time: 0.595 Seconds | Accuracy: 0.3125
TRAIN 81/136 | Loss: 4.5847 | Batch Time: 0.705 Seconds | Accuracy: 0.3125
TRAIN 82/136 | Loss: 6.7215 | Batch Time: 0.606 Seconds | Accuracy: 0.1250
TRAIN 83/136 | Loss: 4.6502 | Batch Time: 0.690 Seconds | Accuracy: 0.3125
TRAIN 84/136 | Loss: 6.3049 | Batch Time: 0.628 Seconds | Accuracy: 0.1875
TRAIN 85/136 | Loss: 5.7543 | Batch Time: 0.631 Seconds | Accuracy: 0.2500
TRAIN 86/136 | Loss: 6.2746 | Batch Time: 0.671 Seconds | Accuracy: 0.0625
TRAIN 87/136 | Loss: 6.8806 | Batch Time: 0.634 Seconds | Accuracy: 0.0000
TRAIN 88/136 | Loss: 6.7823 | Batch Time: 0.726 Seconds | Accuracy: 0.0625
