
Using cuda device


Initial
----------
VAL 1/13 | Loss: 0.7246 | Batch Time: 7.168 Seconds | Accuracy: 0.9375
VAL 2/13 | Loss: 0.6550 | Batch Time: 0.571 Seconds | Accuracy: 0.9375
VAL 3/13 | Loss: 0.9420 | Batch Time: 0.396 Seconds | Accuracy: 0.8750
VAL 4/13 | Loss: 0.9343 | Batch Time: 0.363 Seconds | Accuracy: 0.9375
VAL 5/13 | Loss: 0.8062 | Batch Time: 0.078 Seconds | Accuracy: 0.8750
VAL 6/13 | Loss: 0.5501 | Batch Time: 0.148 Seconds | Accuracy: 1.0000
VAL 7/13 | Loss: 0.4407 | Batch Time: 0.545 Seconds | Accuracy: 1.0000
VAL 8/13 | Loss: 0.5058 | Batch Time: 0.488 Seconds | Accuracy: 1.0000
VAL 9/13 | Loss: 0.5554 | Batch Time: 0.451 Seconds | Accuracy: 1.0000
VAL 10/13 | Loss: 0.6707 | Batch Time: 0.512 Seconds | Accuracy: 1.0000
VAL 11/13 | Loss: 0.5788 | Batch Time: 0.435 Seconds | Accuracy: 0.9375
VAL 12/13 | Loss: 0.4596 | Batch Time: 0.383 Seconds | Accuracy: 1.0000
VAL 13/13 | Loss: 0.7850 | Batch Time: 0.272 Seconds | Accuracy: 1.0000

Average | Loss: 0.6622 | Time: 11.810 | Accuracy: 0.9615


Epoch 1/8
*****
