
Using cuda device


Initial
----------
VAL 1/13 | Loss: 1.3984 | Batch Time: 1.143 Seconds | Accuracy: 0.8750
VAL 2/13 | Loss: 1.4396 | Batch Time: 0.078 Seconds | Accuracy: 0.8750
VAL 3/13 | Loss: 1.6216 | Batch Time: 0.058 Seconds | Accuracy: 0.8125
VAL 4/13 | Loss: 1.0766 | Batch Time: 0.066 Seconds | Accuracy: 0.8750
VAL 5/13 | Loss: 1.4001 | Batch Time: 0.071 Seconds | Accuracy: 0.8750
VAL 6/13 | Loss: 1.1939 | Batch Time: 0.057 Seconds | Accuracy: 0.8750
VAL 7/13 | Loss: 1.0134 | Batch Time: 0.058 Seconds | Accuracy: 0.8750
VAL 8/13 | Loss: 0.6513 | Batch Time: 0.049 Seconds | Accuracy: 0.9375
VAL 9/13 | Loss: 1.0318 | Batch Time: 0.042 Seconds | Accuracy: 0.8750
VAL 10/13 | Loss: 0.7881 | Batch Time: 0.046 Seconds | Accuracy: 0.8750
VAL 11/13 | Loss: 0.9623 | Batch Time: 0.042 Seconds | Accuracy: 0.8750
VAL 12/13 | Loss: 1.0107 | Batch Time: 0.052 Seconds | Accuracy: 0.8750
VAL 13/13 | Loss: 2.2094 | Batch Time: 0.049 Seconds | Accuracy: 0.7500

Average | Loss: 1.2152 | Time: 1.811 | Accuracy: 0.8654


Epoch 1/8
*****
TRAIN 1/136 | Loss: 0.7027 | Batch Time: 0.977 Seconds | Accuracy: 1.0000
TRAIN 2/136 | Loss: 0.9229 | Batch Time: 0.656 Seconds | Accuracy: 0.9375
TRAIN 3/136 | Loss: 0.6149 | Batch Time: 0.651 Seconds | Accuracy: 1.0000
TRAIN 4/136 | Loss: 1.0634 | Batch Time: 0.657 Seconds | Accuracy: 1.0000
TRAIN 5/136 | Loss: 1.0018 | Batch Time: 0.661 Seconds | Accuracy: 1.0000
TRAIN 6/136 | Loss: 0.8078 | Batch Time: 0.676 Seconds | Accuracy: 1.0000
TRAIN 7/136 | Loss: 0.5630 | Batch Time: 0.698 Seconds | Accuracy: 1.0000
TRAIN 8/136 | Loss: 0.7378 | Batch Time: 0.660 Seconds | Accuracy: 1.0000
TRAIN 9/136 | Loss: 0.8868 | Batch Time: 0.900 Seconds | Accuracy: 1.0000
TRAIN 10/136 | Loss: 0.5041 | Batch Time: 0.682 Seconds | Accuracy: 1.0000
TRAIN 11/136 | Loss: 0.8521 | Batch Time: 0.722 Seconds | Accuracy: 1.0000
TRAIN 12/136 | Loss: 0.5601 | Batch Time: 0.675 Seconds | Accuracy: 1.0000
TRAIN 13/136 | Loss: 0.9094 | Batch Time: 0.659 Seconds | Accuracy: 1.0000
TRAIN 14/136 | Loss: 0.2136 | Batch Time: 0.712 Seconds | Accuracy: 1.0000
TRAIN 15/136 | Loss: 0.7012 | Batch Time: 0.670 Seconds | Accuracy: 1.0000
TRAIN 16/136 | Loss: 0.4316 | Batch Time: 0.803 Seconds | Accuracy: 1.0000
TRAIN 17/136 | Loss: 1.0384 | Batch Time: 0.881 Seconds | Accuracy: 1.0000
TRAIN 18/136 | Loss: 0.4664 | Batch Time: 0.697 Seconds | Accuracy: 1.0000
TRAIN 19/136 | Loss: 1.2299 | Batch Time: 0.691 Seconds | Accuracy: 1.0000
TRAIN 20/136 | Loss: 1.3900 | Batch Time: 0.747 Seconds | Accuracy: 0.9375
TRAIN 21/136 | Loss: 0.8675 | Batch Time: 0.686 Seconds | Accuracy: 1.0000
TRAIN 22/136 | Loss: 0.3741 | Batch Time: 0.738 Seconds | Accuracy: 1.0000
TRAIN 23/136 | Loss: 0.5936 | Batch Time: 0.873 Seconds | Accuracy: 1.0000
TRAIN 24/136 | Loss: 0.5831 | Batch Time: 0.680 Seconds | Accuracy: 1.0000
TRAIN 25/136 | Loss: 0.5427 | Batch Time: 0.862 Seconds | Accuracy: 1.0000
TRAIN 26/136 | Loss: 0.7563 | Batch Time: 0.706 Seconds | Accuracy: 0.9375
TRAIN 27/136 | Loss: 1.2881 | Batch Time: 0.702 Seconds | Accuracy: 0.8750
TRAIN 28/136 | Loss: 0.6047 | Batch Time: 0.823 Seconds | Accuracy: 1.0000
TRAIN 29/136 | Loss: 0.6321 | Batch Time: 0.703 Seconds | Accuracy: 1.0000
TRAIN 30/136 | Loss: 0.6119 | Batch Time: 0.718 Seconds | Accuracy: 0.9375
TRAIN 31/136 | Loss: 1.3280 | Batch Time: 0.764 Seconds | Accuracy: 1.0000
TRAIN 32/136 | Loss: 1.4795 | Batch Time: 0.991 Seconds | Accuracy: 0.9375
TRAIN 33/136 | Loss: 0.5305 | Batch Time: 0.887 Seconds | Accuracy: 1.0000
TRAIN 34/136 | Loss: 0.8617 | Batch Time: 0.894 Seconds | Accuracy: 1.0000
TRAIN 35/136 | Loss: 0.6223 | Batch Time: 0.746 Seconds | Accuracy: 0.9375
TRAIN 36/136 | Loss: 0.7369 | Batch Time: 0.746 Seconds | Accuracy: 1.0000
TRAIN 37/136 | Loss: 0.4634 | Batch Time: 0.702 Seconds | Accuracy: 1.0000
TRAIN 38/136 | Loss: 0.6291 | Batch Time: 0.821 Seconds | Accuracy: 1.0000
TRAIN 39/136 | Loss: 0.6345 | Batch Time: 0.781 Seconds | Accuracy: 1.0000
TRAIN 40/136 | Loss: 0.9491 | Batch Time: 0.809 Seconds | Accuracy: 0.9375
TRAIN 41/136 | Loss: 0.5144 | Batch Time: 0.971 Seconds | Accuracy: 1.0000
TRAIN 42/136 | Loss: 0.7623 | Batch Time: 0.933 Seconds | Accuracy: 1.0000
TRAIN 43/136 | Loss: 1.0754 | Batch Time: 0.728 Seconds | Accuracy: 0.9375
TRAIN 44/136 | Loss: 1.1991 | Batch Time: 0.764 Seconds | Accuracy: 0.9375
TRAIN 45/136 | Loss: 0.7716 | Batch Time: 0.849 Seconds | Accuracy: 1.0000
TRAIN 46/136 | Loss: 0.5924 | Batch Time: 0.729 Seconds | Accuracy: 1.0000
TRAIN 47/136 | Loss: 1.0796 | Batch Time: 0.872 Seconds | Accuracy: 1.0000
TRAIN 48/136 | Loss: 0.6688 | Batch Time: 0.936 Seconds | Accuracy: 1.0000
TRAIN 49/136 | Loss: 0.9328 | Batch Time: 0.794 Seconds | Accuracy: 1.0000
TRAIN 50/136 | Loss: 0.6068 | Batch Time: 0.795 Seconds | Accuracy: 0.9375
TRAIN 51/136 | Loss: 0.8561 | Batch Time: 0.796 Seconds | Accuracy: 1.0000
TRAIN 52/136 | Loss: 0.4956 | Batch Time: 0.797 Seconds | Accuracy: 0.9375
TRAIN 53/136 | Loss: 0.6978 | Batch Time: 0.799 Seconds | Accuracy: 1.0000
TRAIN 54/136 | Loss: 0.4161 | Batch Time: 0.794 Seconds | Accuracy: 1.0000
TRAIN 55/136 | Loss: 0.7529 | Batch Time: 0.814 Seconds | Accuracy: 1.0000
TRAIN 56/136 | Loss: 0.4250 | Batch Time: 0.781 Seconds | Accuracy: 1.0000
TRAIN 57/136 | Loss: 1.0856 | Batch Time: 0.835 Seconds | Accuracy: 1.0000
TRAIN 58/136 | Loss: 1.2648 | Batch Time: 0.971 Seconds | Accuracy: 1.0000
TRAIN 59/136 | Loss: 1.1578 | Batch Time: 0.876 Seconds | Accuracy: 1.0000
TRAIN 60/136 | Loss: 0.8728 | Batch Time: 0.777 Seconds | Accuracy: 1.0000
TRAIN 61/136 | Loss: 0.6243 | Batch Time: 0.764 Seconds | Accuracy: 1.0000
TRAIN 62/136 | Loss: 0.6478 | Batch Time: 0.762 Seconds | Accuracy: 1.0000
TRAIN 63/136 | Loss: 0.8771 | Batch Time: 0.779 Seconds | Accuracy: 1.0000
TRAIN 64/136 | Loss: 1.0103 | Batch Time: 1.051 Seconds | Accuracy: 1.0000
TRAIN 65/136 | Loss: 0.9825 | Batch Time: 0.841 Seconds | Accuracy: 0.8750
TRAIN 66/136 | Loss: 0.8281 | Batch Time: 0.896 Seconds | Accuracy: 0.9375
TRAIN 67/136 | Loss: 0.5513 | Batch Time: 0.902 Seconds | Accuracy: 1.0000
TRAIN 68/136 | Loss: 0.7070 | Batch Time: 0.825 Seconds | Accuracy: 1.0000
TRAIN 69/136 | Loss: 0.6623 | Batch Time: 0.884 Seconds | Accuracy: 1.0000
TRAIN 70/136 | Loss: 0.7849 | Batch Time: 0.824 Seconds | Accuracy: 1.0000
TRAIN 71/136 | Loss: 0.4874 | Batch Time: 0.831 Seconds | Accuracy: 1.0000
TRAIN 72/136 | Loss: 1.2728 | Batch Time: 0.822 Seconds | Accuracy: 1.0000
TRAIN 73/136 | Loss: 1.0078 | Batch Time: 0.875 Seconds | Accuracy: 0.8750
TRAIN 74/136 | Loss: 2.2616 | Batch Time: 0.905 Seconds | Accuracy: 0.8750
TRAIN 75/136 | Loss: 0.3556 | Batch Time: 0.854 Seconds | Accuracy: 1.0000
TRAIN 76/136 | Loss: 0.9117 | Batch Time: 0.776 Seconds | Accuracy: 1.0000
TRAIN 77/136 | Loss: 0.7454 | Batch Time: 0.884 Seconds | Accuracy: 1.0000
TRAIN 78/136 | Loss: 1.7016 | Batch Time: 0.928 Seconds | Accuracy: 0.8750
TRAIN 79/136 | Loss: 0.8778 | Batch Time: 0.873 Seconds | Accuracy: 1.0000
TRAIN 80/136 | Loss: 0.9477 | Batch Time: 0.952 Seconds | Accuracy: 1.0000
TRAIN 81/136 | Loss: 0.5695 | Batch Time: 0.943 Seconds | Accuracy: 1.0000
