
Using cuda device


Initial
----------
VAL 1/125 | Loss: 2.4942 | Batch Time: 4.757 Seconds | Accuracy: 0.6875
VAL 2/125 | Loss: 1.2121 | Batch Time: 0.063 Seconds | Accuracy: 0.9375
VAL 3/125 | Loss: 1.3662 | Batch Time: 0.054 Seconds | Accuracy: 0.8750
VAL 4/125 | Loss: 1.7589 | Batch Time: 0.051 Seconds | Accuracy: 0.8125
VAL 5/125 | Loss: 1.3444 | Batch Time: 0.057 Seconds | Accuracy: 0.8750
VAL 6/125 | Loss: 1.5908 | Batch Time: 0.055 Seconds | Accuracy: 0.7500
VAL 7/125 | Loss: 1.2835 | Batch Time: 0.060 Seconds | Accuracy: 0.8750
VAL 8/125 | Loss: 0.9193 | Batch Time: 0.051 Seconds | Accuracy: 0.8750
VAL 9/125 | Loss: 2.2255 | Batch Time: 0.054 Seconds | Accuracy: 0.7500
VAL 10/125 | Loss: 1.8731 | Batch Time: 0.050 Seconds | Accuracy: 0.8125
VAL 11/125 | Loss: 1.9766 | Batch Time: 0.058 Seconds | Accuracy: 0.7500
VAL 12/125 | Loss: 1.3343 | Batch Time: 0.051 Seconds | Accuracy: 0.7500
VAL 13/125 | Loss: 1.2205 | Batch Time: 0.059 Seconds | Accuracy: 0.8750
VAL 14/125 | Loss: 3.0793 | Batch Time: 0.055 Seconds | Accuracy: 0.6250
VAL 15/125 | Loss: 2.7766 | Batch Time: 0.055 Seconds | Accuracy: 0.5000
VAL 16/125 | Loss: 1.5963 | Batch Time: 0.055 Seconds | Accuracy: 0.8125
VAL 17/125 | Loss: 2.3856 | Batch Time: 0.053 Seconds | Accuracy: 0.6875
VAL 18/125 | Loss: 1.5294 | Batch Time: 0.055 Seconds | Accuracy: 0.9375
VAL 19/125 | Loss: 2.0175 | Batch Time: 0.050 Seconds | Accuracy: 0.8125
VAL 20/125 | Loss: 2.0732 | Batch Time: 0.056 Seconds | Accuracy: 0.5625
VAL 21/125 | Loss: 2.5022 | Batch Time: 0.057 Seconds | Accuracy: 0.5000
VAL 22/125 | Loss: 1.5024 | Batch Time: 0.069 Seconds | Accuracy: 0.8125
VAL 23/125 | Loss: 1.5619 | Batch Time: 0.053 Seconds | Accuracy: 0.8125
VAL 24/125 | Loss: 3.4885 | Batch Time: 0.068 Seconds | Accuracy: 0.3125
VAL 25/125 | Loss: 2.9158 | Batch Time: 0.065 Seconds | Accuracy: 0.3750
VAL 26/125 | Loss: 2.2873 | Batch Time: 0.053 Seconds | Accuracy: 0.7500
VAL 27/125 | Loss: 1.8129 | Batch Time: 0.054 Seconds | Accuracy: 0.6250
VAL 28/125 | Loss: 1.2252 | Batch Time: 0.051 Seconds | Accuracy: 0.8750
VAL 29/125 | Loss: 1.3255 | Batch Time: 0.050 Seconds | Accuracy: 0.8125
VAL 30/125 | Loss: 1.8251 | Batch Time: 0.052 Seconds | Accuracy: 0.7500
VAL 31/125 | Loss: 2.4187 | Batch Time: 0.058 Seconds | Accuracy: 0.6875
VAL 32/125 | Loss: 3.5234 | Batch Time: 0.049 Seconds | Accuracy: 0.4375
VAL 33/125 | Loss: 1.4435 | Batch Time: 0.050 Seconds | Accuracy: 0.8125
VAL 34/125 | Loss: 3.2176 | Batch Time: 0.049 Seconds | Accuracy: 0.6250
VAL 35/125 | Loss: 2.0760 | Batch Time: 0.050 Seconds | Accuracy: 0.6875
VAL 36/125 | Loss: 1.8761 | Batch Time: 0.054 Seconds | Accuracy: 0.8125
VAL 37/125 | Loss: 1.8835 | Batch Time: 0.054 Seconds | Accuracy: 0.6875
VAL 38/125 | Loss: 1.2373 | Batch Time: 0.058 Seconds | Accuracy: 0.8125
